Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2014,5310.15,5585.00,4905.20,5044.30,86689,24124,456834987.00,42289,48.78,679.80,-265.85
February-2014,5044.00,5199.00,4796.20,4849.80,64542,15020,324118654.00,36595,56.70,402.80,-194.20
March-2014,4874.90,5030.00,4630.00,5008.15,240112,24181,1152495964.00,199205,82.96,400.00,133.25
April-2014,5030.05,5042.65,4690.00,4772.00,103730,15005,501363095.00,75142,72.44,352.65,-258.05
May-2014,4793.40,5035.00,4536.00,4938.70,77508,21906,365939299.00,44016,56.79,499.00,145.30
June-2014,4960.00,5049.00,4755.00,4946.00,56308,14328,276736391.00,36995,65.70,294.00,-14.00
July-2014,4925.00,5250.00,4845.00,5125.05,53156,16295,268639613.00,28372,53.37,405.00,200.05
August-2014,5125.00,6075.00,5005.10,5998.45,83725,28626,462740912.00,40148,47.95,1069.90,873.45
September-2014,6050.00,6624.55,5901.00,5979.55,58452,23622,362634038.00,29433,50.35,723.55,-70.45
October-2014,6000.00,6276.35,5650.00,6237.45,43271,16550,259913020.00,24192,55.91,626.35,237.45
November-2014,6250.00,6501.65,6000.00,6226.10,39695,15101,249816384.00,21353,53.79,501.65,-23.90
December-2014,6300.00,6425.00,5555.15,6379.80,133173,12837,838643008.00,118133,88.71,869.85,79.80
January-2015,6355.00,7425.00,6215.45,7109.10,223949,27534,1555697403.00,190372,85.01,1209.55,754.10
February-2015,7112.10,7274.75,6755.00,7001.60,43840,22331,307483705.00,22051,50.30,519.75,-110.50
March-2015,7019.45,7499.95,6766.60,6941.90,116400,20632,825425007.00,96159,82.61,733.35,-77.55
April-2015,6961.00,7167.25,6539.25,6580.90,29553,15284,204226122.00,15634,52.90,628.00,-380.10
May-2015,6610.00,7327.00,6551.00,6857.10,64360,17992,442910428.00,33302,51.74,776.00,247.10
June-2015,6751.00,6987.45,5499.00,6345.65,725665,144993,4365200646.00,150800,20.78,1488.45,-405.35
July-2015,6430.00,6490.00,5905.10,6343.05,233953,42785,1437971953.00,82996,35.48,584.90,-86.95
August-2015,6385.00,7000.00,5951.00,5976.10,282779,57728,1814655564.00,70451,24.91,1049.00,-408.90
September-2015,6034.00,6380.00,5884.10,6350.35,276491,16423,1699436074.00,242567,87.73,495.90,316.35
October-2015,6371.95,6675.00,6109.00,6179.50,259944,41058,1661056375.00,137523,52.90,566.00,-192.45
November-2015,6174.00,6479.00,5860.00,5872.65,148073,32427,913080392.00,49393,33.36,619.00,-301.35
December-2015,5865.00,5928.00,5622.00,5824.10,100786,24974,586405244.00,38065,37.77,306.00,-40.90
January-2016,5850.00,5850.00,5390.00,5490.60,99205,16529,552242160.00,65779,66.31,460.00,-359.40
February-2016,5511.00,5574.90,4990.00,5012.35,243316,15688,1266285771.00,217026,89.20,584.90,-498.65
March-2016,5036.00,5826.15,5006.00,5768.95,118800,23359,617426062.00,50926,42.87,820.15,732.95
April-2016,5665.00,6249.00,5360.00,5743.85,135785,26224,801410068.00,41291,30.41,889.00,78.85
May-2016,5752.00,6350.00,5490.00,6098.85,85455,29513,511102599.00,31149,36.45,860.00,346.85
June-2016,6125.00,6700.00,6125.00,6488.75,60479,22495,390527878.00,21261,35.15,575.00,363.75
July-2016,6527.25,7390.00,6400.00,7165.60,74672,16498,501576444.00,49369,66.11,990.00,638.35
August-2016,7165.60,7230.00,6490.00,6559.50,50446,16821,343608426.00,22966,45.53,740.00,-606.10
September-2016,6543.00,6705.00,6200.00,6428.20,46024,16434,295328842.00,20880,45.37,505.00,-114.80
October-2016,6478.95,7061.95,6457.30,6942.65,57406,16263,388791582.00,31241,54.42,604.65,463.70
November-2016,6942.65,6968.40,5701.05,6256.65,75365,17656,469823397.00,33295,44.18,1267.35,-686.00
December-2016,6314.40,6388.85,5750.00,6029.80,43643,11331,267548688.00,27598,63.24,638.85,-284.60
January-2017,6030.00,6083.00,5800.00,5842.20,230035,15742,1369017328.00,190572,82.84,283.00,-187.80
February-2017,5843.00,6420.00,5843.00,6255.05,75661,16802,463527813.00,44914,59.36,577.00,412.05
March-2017,6255.05,6689.95,6085.00,6681.20,97491,16593,616799830.00,52559,53.91,604.95,426.15
April-2017,6680.00,6778.00,6262.00,6702.40,81968,9572,526867913.00,53867,65.72,516.00,22.40
May-2017,6702.00,6995.50,6450.80,6657.15,301133,20103,2028854421.00,227786,75.64,544.70,-44.85
June-2017,6644.00,6832.00,6532.40,6723.05,166954,8265,1108704280.00,138406,82.90,299.60,79.05
July-2017,6734.20,6989.50,6675.05,6750.25,166303,11432,1134693681.00,128195,77.09,314.45,16.05
August-2017,6750.25,7120.05,6501.00,7101.10,248300,9826,1666414181.00,213777,86.10,619.05,350.85
September-2017,7089.00,7408.35,6800.00,7222.25,58948,10298,422507411.00,29757,50.48,608.35,133.25
