"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","01-Jan-2018","28-Mar-2018","PE","6700","0","0","0","0.2","0.2","0","0","0","0","18000","0","10435.55"
"NIFTY","01-Jan-2018","28-Mar-2018","PE","6800","0","0","0","0.15","0","0","0","0","0","0","0","10435.55"
"NIFTY","01-Jan-2018","28-Mar-2018","PE","6900","0","0","0","0.25","0","0","0","0","0","0","0","10435.55"
"NIFTY","01-Jan-2018","28-Mar-2018","PE","7000","3","3","0.35","0.55","0.6","0.55","80","420.03",".03","108675","1950","10435.55"
"NIFTY","01-Jan-2018","28-Mar-2018","PE","7100","0","0","0","0.55","0","0","0","0","0","0","0","10435.55"
"NIFTY","01-Jan-2018","28-Mar-2018","PE","7200","0","0","0","0.85","0","0","0","0","0","0","0","10435.55"
"NIFTY","01-Jan-2018","28-Mar-2018","PE","7300","0","0","0","1.3","0","0","0","0","0","0","0","10435.55"
"NIFTY","01-Jan-2018","28-Mar-2018","PE","7400","0","0","0","1.9","0","0","0","0","0","0","0","10435.55"
"NIFTY","01-Jan-2018","28-Mar-2018","PE","7500","1.45","1.45","1.45","1.45","1.45","1.45","3","16.88","0","7650","0","10435.55"
"NIFTY","01-Jan-2018","28-Mar-2018","PE","7600","0","0","0","3.85","0","0","0","0","0","0","0","10435.55"
"NIFTY","01-Jan-2018","28-Mar-2018","PE","7700","0","0","0","5.35","0","0","0","0","0","0","0","10435.55"
"NIFTY","01-Jan-2018","28-Mar-2018","PE","7800","0","0","0","7.4","0","0","0","0","0","0","0","10435.55"
"NIFTY","01-Jan-2018","28-Mar-2018","PE","7900","0","0","0","10","0","0","0","0","0","0","0","10435.55"
"NIFTY","01-Jan-2018","28-Mar-2018","PE","8000","1.9","1.9","1.05","1.2","1.2","1.2","13","78.01",".01","36450","450","10435.55"
"NIFTY","01-Jan-2018","28-Mar-2018","PE","8100","0","0","0","17.7","0","0","0","0","0","0","0","10435.55"
"NIFTY","01-Jan-2018","28-Mar-2018","PE","8200","0","0","0","23.05","0","0","0","0","0","0","0","10435.55"
"NIFTY","01-Jan-2018","28-Mar-2018","PE","8300","0","0","0","29.7","0","0","0","0","0","0","0","10435.55"
"NIFTY","01-Jan-2018","28-Mar-2018","PE","8400","0","0","0","37.75","0","0","0","0","0","0","0","10435.55"
"NIFTY","01-Jan-2018","28-Mar-2018","PE","8500","4.35","4.4","2.3","3.2","2.9","3.2","42","267.85",".1","5100","2250","10435.55"
"NIFTY","01-Jan-2018","28-Mar-2018","PE","8600","0","0","0","59.15","0","0.05","0","0","0","0","0","10435.55"
"NIFTY","01-Jan-2018","28-Mar-2018","PE","8700","0","0","0","72.85","0","0.05","0","0","0","0","0","10435.55"
"NIFTY","01-Jan-2018","28-Mar-2018","PE","8800","0","0","0","88.8","0","0.05","0","0","0","0","0","10435.55"
"NIFTY","01-Jan-2018","28-Mar-2018","PE","8900","0","0","0","107.3","0","0.15","0","0","0","0","0","10435.55"
"NIFTY","01-Jan-2018","28-Mar-2018","PE","9000","14.5","17.25","14","14.9","15","14.9","81","547.67",".92","105675","4650","10435.55"
